idx,200,250,300,350,400
28,1.0,1.0,0.95,0.8,0.1
29,1.0,1.0,1.0,0.75,0.35
30,1.0,1.0,1.0,0.65,0.45
31,1.0,1.0,1.0,0.85,0.3
32,1.0,1.0,1.0,0.75,0.1
33,1.0,1.0,0.85,0.5,0.05
34,1.0,0.95,1.0,0.65,0.1
35,1.0,1.0,1.0,0.5,0.0
36,1.0,0.95,0.75,0.5,0.15
37,1.0,1.0,0.95,0.5,0.0
38,1.0,1.0,1.0,0.7,0.1
39,1.0,1.0,0.95,0.2,0.05
40,1.0,1.0,1.0,0.6,0.1
41,1.0,1.0,1.0,0.85,0.2
42,1.0,1.0,0.9,0.5,0.05
43,1.0,1.0,0.95,0.7,0.15
44,1.0,1.0,1.0,0.85,0.15
45,0.95,1.0,0.95,0.5,0.1
47,1.0,1.0,1.0,0.5,0.0
48,1.0,1.0,1.0,0.6,0.1
50,1.0,0.95,0.8,0.6,0.1
51,1.0,1.0,0.95,0.7,0.25
52,1.0,1.0,0.95,0.5,0.0
54,1.0,0.95,0.85,0.35,0.1
55,1.0,0.95,1.0,0.6,0.2
56,1.0,1.0,0.9,0.6,0.1
57,1.0,1.0,0.85,0.1,0.0
58,0.9,0.9,0.55,0.45,0.45
59,0.95,1.0,1.0,0.5,0.15
60,1.0,1.0,0.95,0.4,0.15
61,0.85,0.8,0.75,0.45,0.25
62,1.0,1.0,1.0,0.75,0.2
63,1.0,0.95,0.95,0.45,0.0
65,1.0,0.95,0.9,0.55,0.25
66,1.0,0.95,0.8,0.6,0.5
67,1.0,1.0,0.95,0.45,0.2
68,1.0,1.0,0.8,0.35,0.15
69,1.0,1.0,0.95,0.65,0.2
70,1.0,1.0,0.95,0.6,0.1
71,1.0,1.0,0.9,0.35,0.0
72,1.0,1.0,1.0,0.65,0.25
73,1.0,1.0,0.8,0.3,0.0
74,1.0,1.0,1.0,0.85,0.15
75,1.0,1.0,0.95,0.6,0.15
76,1.0,1.0,0.9,0.55,0.35
77,1.0,1.0,1.0,0.85,0.3
78,1.0,0.95,0.95,0.9,0.65
79,1.0,1.0,1.0,0.95,0.5
80,1.0,1.0,0.95,0.95,0.35
81,1.0,1.0,0.9,0.75,0.2
82,1.0,1.0,1.0,0.55,0.2
83,1.0,1.0,0.75,0.35,0.0
84,1.0,1.0,0.9,0.6,0.15
85,1.0,1.0,0.65,0.15,0.1
86,1.0,0.95,1.0,0.75,0.2
87,1.0,1.0,0.9,0.35,0.05
88,1.0,1.0,0.95,0.8,0.55
89,1.0,1.0,1.0,1.0,0.6
90,1.0,1.0,1.0,0.8,0.2
95,1.0,0.9,0.9,0.65,0.1
97,0.95,1.0,0.95,0.45,0.05
